#Supplementary Data 1. Drug-disease annotations and proximity values of drugs to diseases, pathways and side effects.							
Disease	Drug	Drugbank ID	Palliative	In FDA label	Relative Efficacy (RE)	Indication (from DailyMed)	Note
adenocarcinoma	Erlotinib	DB00530	0	1	0,867925	TARCEVA is a kinase inhibitor indicated for: First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test. ( 1.1) Maintenance treatment of patients with locally advanced or metastatic NSCLC whose disease has not progressed after four cycles of platinum-based first-line chemotherapy. ( 1.1) Treatment of locally advanced or metastatic NSCLC after failure of at least one prior chemotherapy regimen. ( 1.1) First-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer, in combination with gemcitabine. ( 1.2) Limitations of Use: TARCEVA is not recommended for use in combination with platinum-based chemotherapy. Safety and efficacy of TARCEVA have not been evaluated as first-line treatment in patients with metastatic NSCLC whose tumors have EGFR mutations other than exon 19 deletions or exon 21 (L858R) substitution.	Nearly 40% of lung cancers are adenocarcinoma, which usually originates in peripheral lung tissue. [wikipedia: lu et al., 2010]
adenocarcinoma	Floxuridine	DB00322	1	1	NA	Floxuridine for Injection, USP is effective in the palliative management of gastrointestinal adenocarcinoma metastatic to the liver, when given by continuous regional intra-arterial infusion in carefully selected patients who are considered incurable by surgery or other means. Patients with known disease extending beyond an area capable of infusion via a single artery should, except in unusual circumstances, be considered for systemic therapy with other chemotherapeutic agents.	For palliative management of gastrointestinal adenocarcinoma metastatic to the liver
adenocarcinoma	Gefitinib	DB00317	0	1	0,752137	IRESSA is a tyrosine kinase inhibitor indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test. (1) Limitation of Use: Safety and efficacy of IRESSA have not been established in patients whose tumors have EGFR mutations other than exon 19 deletions or exon 21 (L858R) substitution mutations. (1)	Nearly 40% of lung cancers are adenocarcinoma, which usually originates in peripheral lung tissue. [wikipedia: lu et al., 2010]
alzheimer disease	Donepezil	DB00843	0	1	0,538462	Donepezil hydrochloride is an acetylcholinesterase inhibitor indicated for the treatment of dementia of the Alzheimers type. Efficacy has been demonstrated in patients with mild, moderate, and severe Alzheimers Disease (1).	
alzheimer disease	Galantamine	DB00674	0	1	NA	Galantamine hydrobromide tablet is a cholinesterase inhibitor indicated for the treatment of mild to moderate dementia of the Alzheimers type (1)	
alzheimer disease	Memantine	DB01043	0	1	0,727273	Namenda (memantine hydrochloride) is indicated for the treatment of moderate to severe dementia of the Alzheimer's type.	
alzheimer disease	Rivastigmine	DB00989	0	1	0,860465	Rivastigmine tartrate capsules are an acetylcholinesterase inhibitor indicated for treatment of: Mild to moderate dementia of the Alzheimer's type (1.1) Mild to moderate dementia associated with Parkinson's disease (1.2)	
alzheimer disease	Selegiline	DB01037	0	0	NA	Selegiline is indicated as an adjunct in the management of Parkinsonian patients being treated with levodopa/carbidopa who exhibit deterioration in the quality of their response to this therapy. There is no evidence from controlled studies that selegiline has any beneficial effect in the absence of concurrent levodopa therapy. Evidence supporting this claim was obtained in randomized controlled clinical investigations that compared the effects of added selegiline or placebo in patients receiving levodopa/carbidopa. Selegiline was significantly superior to placebo on all three principal outcome measures employed: change from baseline in daily levodopa/carbidopa dose, the amount of off time, and patient self-rating of treatment success. Beneficial effects were also observed on other measures of treatment success (e.g., measures of reduced end of dose akinesia, decreased tremor and sialorrhea, improved speech and dressing ability and improved overall disability as assessed by walking and comparison to previous state).	
alzheimer disease	Vitamin E	DB00163	0	0	NA		No corresponding FDA label
amyotrophic lateral sclerosis	Riluzole	DB00740	0	1	0,714286	Riluzole is indicated for the treatment of patients with amyotrophic lateral sclerosis (ALS). Riluzole extends survival and/or time to tracheostomy.	
anemia	Folic Acid	DB00158	0	1	NA	Folic Acid Injection, USP alone is effective in the treatment of megaloblastic anemias due to a deficiency of folic acid as may be seen in tropical or nontropical sprue, in anemias of nutritional origin, pregnancy, infancy or childhood.	
anemia	Pyridoxine	DB00165	0	1	NA	Pyridoxine Hydrochloride Injection is effective for the treatment of pyridoxine deficiency as seen in the following: Inadequate dietary intake. Drug-induced deficiency, as from isoniazid (INH) or oral contraceptives. Inborn errors of metabolism, e.g., vitamin B6 dependent convulsions or vitamin B6 responsive anemia. The parenteral route is indicated when oral administration is not feasible as in anorexia, nausea and vomiting, and preoperative and postoperative conditions. It is also indicated when gastrointestinal absorption is impaired.	
anemia	Vitamin C	DB00126	0	0	NA	Temporary relief of symptoms related to Vitamin C in foods and supplements including fatigue, upper respiratory, gastrointestinal, musculoskeletal and urinary symptoms.	
anemia aplastic	Felbamate	DB00949	0	-1	NA	Felbamate is not indicated as a first line antiepileptic treatment (see Warnings). Felbamate is recommended for use only in those patients who respond inadequately to alternative treatments and whose epilepsy is so severe that a substantial risk of aplastic anemia and/or liver failure is deemed acceptable in light of the benefits conferred by its use. If these criteria are met and the patient has been fully advised of the risk, and has provided written acknowledgement, Felbamate can be considered for either monotherapy or adjunctive therapy in the treatment of partial seizures, with and without generalization, in adults with epilepsy and as adjunctive therapy in the treatment of partial and generalized seizures associated with Lennox-Gastaut syndrome in children.	Contraindication: Felbamate is recommended for use only in those patients who respond inadequately to alternative treatments and whose epilepsy is so severe that a substantial risk of aplastic anemia and/or liver failure is deemed acceptable in light of the benefits conferred by its use.
anemia hemolytic	Vitamin E	DB00163	0	0	NA		No corresponding FDA label
